PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [16, 11, 17, 12], [20, 13, 21, 14], [6, 16, 7, 15], [22, 18, 23, 17], [12, 19, 13, 20], [24, 22, 1, 21], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [11, 17, 12, 16], [13, 21, 14, 20], [6, 16, 7, 15], [17, 22, 18, 23], [19, 13, 20, 12], [21, 24, 22, 1], [23, 18, 24, 19]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [16, 11, 17, 12], [20, 13, 21, 14], [15, 6, 16, 7], [22, 18, 23, 17], [12, 19, 13, 20], [24, 22, 1, 21], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [11, 17, 12, 16], [20, 13, 21, 14], [15, 6, 16, 7], [22, 18, 23, 17], [12, 19, 13, 20], [24, 22, 1, 21], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [11, 17, 12, 16], [20, 13, 21, 14], [15, 6, 16, 7], [17, 22, 18, 23], [12, 19, 13, 20], [21, 24, 22, 1], [23, 18, 24, 19]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [11, 17, 12, 16], [13, 21, 14, 20], [15, 6, 16, 7], [22, 18, 23, 17], [19, 13, 20, 12], [24, 22, 1, 21], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [16, 11, 17, 12], [20, 14, 21, 13], [6, 16, 7, 15], [22, 17, 23, 18], [24, 19, 1, 20], [12, 22, 13, 21], [18, 23, 19, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [11, 17, 12, 16], [13, 20, 14, 21], [6, 16, 7, 15], [17, 23, 18, 22], [19, 1, 20, 24], [21, 12, 22, 13], [23, 19, 24, 18]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [16, 11, 17, 12], [20, 14, 21, 13], [15, 6, 16, 7], [22, 17, 23, 18], [24, 19, 1, 20], [12, 22, 13, 21], [18, 23, 19, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [11, 17, 12, 16], [20, 14, 21, 13], [15, 6, 16, 7], [22, 17, 23, 18], [24, 19, 1, 20], [12, 22, 13, 21], [18, 23, 19, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [16, 11, 17, 12], [20, 14, 21, 13], [6, 16, 7, 15], [24, 17, 1, 18], [22, 19, 23, 20], [12, 22, 13, 21], [18, 23, 19, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [11, 17, 12, 16], [13, 20, 14, 21], [6, 16, 7, 15], [17, 1, 18, 24], [19, 23, 20, 22], [21, 12, 22, 13], [23, 19, 24, 18]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [16, 11, 17, 12], [20, 14, 21, 13], [15, 6, 16, 7], [24, 17, 1, 18], [22, 19, 23, 20], [12, 22, 13, 21], [18, 23, 19, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 7, 15, 8], [9, 2, 10, 3], [18, 12, 19, 11], [6, 13, 7, 14], [20, 16, 21, 15], [22, 17, 23, 18], [12, 20, 13, 19], [24, 22, 1, 21], [16, 23, 17, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 7, 15, 8], [9, 2, 10, 3], [11, 18, 12, 19], [6, 13, 7, 14], [15, 20, 16, 21], [17, 23, 18, 22], [19, 12, 20, 13], [21, 24, 22, 1], [23, 17, 24, 16]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 15, 8, 14], [9, 2, 10, 3], [18, 12, 19, 11], [13, 7, 14, 6], [20, 16, 21, 15], [22, 17, 23, 18], [12, 20, 13, 19], [24, 22, 1, 21], [16, 23, 17, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 7, 15, 8], [9, 2, 10, 3], [18, 11, 19, 12], [6, 13, 7, 14], [22, 16, 23, 15], [12, 17, 13, 18], [24, 19, 1, 20], [16, 22, 17, 21], [20, 23, 21, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 7, 15, 8], [9, 2, 10, 3], [11, 19, 12, 18], [6, 13, 7, 14], [15, 22, 16, 23], [17, 13, 18, 12], [19, 1, 20, 24], [21, 16, 22, 17], [23, 21, 24, 20]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 15, 8, 14], [9, 2, 10, 3], [18, 11, 19, 12], [13, 7, 14, 6], [22, 16, 23, 15], [12, 17, 13, 18], [24, 19, 1, 20], [16, 22, 17, 21], [20, 23, 21, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 7, 15, 8], [9, 2, 10, 3], [18, 12, 19, 11], [6, 13, 7, 14], [22, 15, 23, 16], [20, 18, 21, 17], [12, 20, 13, 19], [24, 21, 1, 22], [16, 23, 17, 24]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [18, 11, 19, 12], [20, 14, 21, 13], [6, 16, 7, 15], [22, 18, 23, 17], [24, 19, 1, 20], [16, 22, 17, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 8, 15, 7], [9, 2, 10, 3], [11, 19, 12, 18], [13, 20, 14, 21], [6, 16, 7, 15], [17, 22, 18, 23], [19, 1, 20, 24], [21, 16, 22, 17], [23, 12, 24, 13]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [7, 14, 8, 15], [9, 2, 10, 3], [18, 11, 19, 12], [20, 14, 21, 13], [15, 6, 16, 7], [22, 18, 23, 17], [24, 19, 1, 20], [16, 22, 17, 21], [12, 24, 13, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 7, 15, 8], [9, 2, 10, 3], [20, 11, 21, 12], [6, 13, 7, 14], [22, 16, 23, 15], [24, 18, 1, 17], [12, 19, 13, 20], [18, 22, 19, 21], [16, 24, 17, 23]]
PD [[1, 5, 2, 4], [3, 8, 4, 9], [5, 11, 6, 10], [14, 7, 15, 8], [9, 2, 10, 3], [20, 11, 21, 12], [6, 13, 7, 14], [24, 16, 1, 15], [22, 18, 23, 17], [12, 19, 13, 20], [18, 22, 19, 21], [16, 24, 17, 23]]
